Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Series;Publisher;Manual Tags;Included;Main Exclusion Reason
conferencePaper;2017;"Quirk, Chris; Poon, Hoifung";Distant Supervision for Relation Extraction beyond the Sentence Boundary;Proceedings of the 15th Conference of the European Chapter of the           Association for Computational Linguistics: Volume 1, Long Papers;;;10.18653/v1/E17-1110;http://aclweb.org/anthology/E17-1110;The growing demand for structured knowledge has led to great interest in relation extraction, especially in cases with limited supervision. However, existing distance supervision approaches only extract relations expressed in single sentences. In general, cross-sentence relation extraction is under-explored, even in the supervised-learning setting. In this paper, we propose the first approach for applying distant supervision to cross-sentence relation extraction. At the core of our approach is a graph representation that can incorporate both standard dependencies and discourse relations, thus providing a unifying way to model relations within and across sentences. We extract features from multiple paths in this graph, increasing accuracy and robustness when confronted with linguistic variation and analysis error. Experiments on an important extraction task for precision medicine show that our approach can learn an accurate cross-sentence extractor, using only a small existing knowledge base and unlabeled text from biomedical research articles. Compared to the existing distant supervision paradigm, our approach extracted twice as many relations at similar precision, thus demonstrating the prevalence of cross-sentence relations and the promise of our approach.;2017;;Association for Computational Linguistics;;;No Dark Web
conferencePaper;2015;"Soska, K.; Christin, Nicolas";Measuring the Longitudinal Evolution of the Online Anonymous Marketplace Ecosystem;;;;;https://www.semanticscholar.org/paper/Measuring-the-Longitudinal-Evolution-of-the-Online-Soska-Christin/532b0a835b9340ff8a123b672139fa2070ec539f;February 2011 saw the emergence of Silk Road, the first successful online anonymous marketplace, in which buyers and sellers could transact with anonymity properties far superior to those available in alternative online or offline means of commerce. Business on Silk Road, primarily involving narcotics trafficking, rapidly boomed, and competitors emerged. At the same time, law enforcement did not sit idle, and eventually managed to shut down Silk Road in October 2013 and arrest its operator. Far from causing the demise of this novel form of commerce, the Silk Road take-down spawned an entire, dynamic, online anonymous marketplace ecosystem, which has continued to evolve to this day. This paper presents a long-term measurement analysis of a large portion of this online anonymous marketplace ecosystem, including 16 different marketplaces, over more than two years (2013- 2015). By using long-term measurements, and combining our own data collection with publicly available previous efforts, we offer a detailed understanding of the growth of the online anonymous marketplace ecosystem. We are able to document the evolution of the types of goods being sold, and assess the effect (or lack thereof) of adversarial events, such as law enforcement operations or large-scale frauds, on the overall size of the economy. We also provide insights into how vendors are diversifying and replicating across marketplaces, and how vendor security practices (e.g., PGP adoption) are evolving. These different aspects help us understand how traditional, physical-world criminal activities are developing an online presence, in the same manner traditional commerce diversified online in the 1990s.;12.08.2015;;;;;No Jargon
conferencePaper;2024;"Hu, Yuxue; Li, Junsong; Wu, Mingmin; Huang, Zhongqiang; Chen, Gang; Sha, Ying";Uncovering and Mitigating the Hidden Chasm: A Study on the Text-Text Domain Gap in Euphemism Identification;Proceedings of the AAAI Conference on Artificial Intelligence;;2374-3468, 2159-5399;10.1609/aaai.v38i16.29786;https://ojs.aaai.org/index.php/AAAI/article/view/29786;Euphemisms are commonly used on social media and darknet marketplaces to evade platform regulations by masking their true meanings with innocent ones. For instance, “weed” is used instead of “marijuana” for illicit transactions. Thus, euphemism identification, i.e., mapping a given euphemism (“weed”) to its specific target word (“marijuana”), is essential for improving content moderation and combating underground markets. Existing methods employ self-supervised schemes to automatically construct labeled training datasets for euphemism identification. However, they overlook the text-text domain gap caused by the discrepancy between the constructed training data and the test data, leading to performance deterioration. In this paper, we present the text-text domain gap and explain how it forms in terms of the data distribution and the cone effect. Moreover, to bridge this gap, we introduce a feature alignment network (FA-Net), which can both align the in-domain and cross-domain features, thus mitigating the domain gap from training data to test data and improving the performance of the base models for euphemism identification. We apply this FA-Net to the base models, obtaining markedly better results, and creating a state-of-the-art model which beats the large language models.;24.03.2024;;;;;No Dark Web
journalArticle;2026;"Wang, Longcang; Gao, Yongbing; Wang, Xinguang; Liu, Xin";IPKE-MoE: Mixture-of-Experts with Iterative Prompts and Knowledge-Enhanced LLM for Chinese Sensitive Words Detection;Computers, Materials & Continua;;1546-2226;10.32604/cmc.2025.072889;https://www.techscience.com/cmc/v87n1/66042;: Aiming at the problem of insufficient recognition of implicit variants by existing Chinese sensitive text detection methods, this paper proposes the IPKE-MoE framework, which consists of three parts, namely, a sensitive word variant extraction framework, a sensitive word variant knowledge enhancement layer and a mixture-of-experts (MoE) classification layer. First, sensitive word variants are precisely extracted through dynamic iterative prompt templates and the context-aware capabilities of Large Language Models (LLMs). Next, the extracted variants are used to construct a knowledge enhancement layer for sensitive word variants based on RoCBert models. Specifically, after locating variants via n-gram algorithms, variant types are mapped to embedding vectors and fused with original word vectors. Finally, a mixture-of-experts (MoE) classification layer is designed (sensitive word, sentiment, and semantic experts), which decouples the relationship between sensitive word existence and text toxicity through multiple experts. This framework effectively combines the comprehension ability of Large Language Models (LLMs) with the discriminative ability of smaller models. Our two experiments demonstrate that the sensitive word variant extraction framework based on dynamically iterated prompt templates outperforms other baseline prompt templates. The RoCBert models incorporating the sensitive word variant knowledge enhancement layer and a mixture-of-experts (MoE) classification layer achieve superior classification performance compared to other baselines.;2026;;;;;No Dark Web
journalArticle;2024;"Guan, Zhengqing; Zhang, Peng; Gu, Hansu; Lu, Tun; Liu, Baoxi; Gu, Ning";JargonFM: A Framework With Multiple Interpretation Modes for Jargon Understanding in Online Communities;IEEE Transactions on Computational Social Systems;;2329-924X, 2373-7476;10.1109/TCSS.2023.3281674;https://ieeexplore.ieee.org/document/10153346/;Jargon words are commonly used in the communication of online communities. These words are characterized by special and implicit meanings that can only be comprehended by a small group of users, which brings challenges to community regulation and user engagement. For this problem, we present JargonFM, a framework with multiple interpretation modes for jargon understanding in online communities. JargonFM is designed based on the scientific explanation framework and supports three interpretation modes: jargon category prediction based on a jargon classifier, similar word identification based on a jargon synonyms selector, and representative text selection based on an example sentence selector. A jargon interpreter was also implemented to demonstrate the usage and usefulness of the interpretation framework. Automatic and human evaluations suggest that JargonFM can explain jargon words more accurately and more efficiently than the existing interpretation methods, leading to its wide acceptance among the evaluation participants.;2024-04;;;;;No Dark Web
journalArticle;2020;"Hada, Takuro; Sei, Yuichi; Tahara, Yasuyuki; Ohsuga, Akihiko";Codewords Detection in Microblogs Focusing on Differences in Word Use Between Two Corpora;2020 International Conference on Computing, Electronics & Communications Engineering (iCCECE);;;10.1109/iCCECE49321.2020.9231109;https://ieeexplore.ieee.org/document/9231109/;"In recent years, drug trafficking using microblogs has risen and become a social problem. A common method of cyber patrols for cracking down on crimes, such as drug trafficking, involves searching for crime-related keywords. However, criminals who post crime-inducing messages make maximum use of ""codewords"" rather than keywords, such as enjo kosai, marijuana, and methamphetamine, to camouflage their criminal intentions. Research suggests that these codewords change once they become popular; therefore, searching for a specific word requires significant effort to keep track of the latest codewords. In this study, we focused on the appearance of codewords and those likely to be included in incriminating posts with aim to detect codewords with the high likelihood of inclusion in incriminating posts. We proposed new methods for detecting codewords based on differences in word usage and conducted experiments on concealed-word detection in order to evaluate method effectiveness. The results showed that the proposed method was capable of detecting concealed words other than those in the initial list and to better degree relative to baseline methods. These findings demonstrated the ability of the proposed method to rapidly and automatically detect codewords that change over time and blog posts that induce crimes, thereby potentially reducing the burden of continuous monitoring of codewords.";17.08.2020;;IEEE;;;No Dark Web
journalArticle;2021;Broadhurst, Roderic;Illicit firearms and other weapons on darknet markets;;;;10.52922/ti78009;https://www.aic.gov.au/publications/tandi/tandi622;This study provides a snapshot of the availability of weapons across eight omnibus or ‘High Street’ and 12 specialist darknet or illicit cryptomarkets between July and December 2019. Overall, 2,124 weapons were identified, of which 11 percent were found on niche markets. On all markets, weapons for sale included 1,497 handguns, 218 rifles, 41 submachine guns and 34 shotguns. Also available were ammunition (n=79), explosives (n=37) and accessories such as silencers (n=24). Omnibus markets also sold other weapons (n=70) such as tasers, pepper spray and knives, and digital products (n=112), mostly DIY weapon manuals, as well as chemical, biological, nuclear and radiological weapons (n=12). The data allowed for estimates of the cost of weapons and some description of the 215 vendors identified, 18 (8.4%) of whom were active across more than one market.;23.03.2021;;Australian Institute of Criminology;;;No Jargon
journalArticle;2022;"Gavidia, Martha; Lee, Patrick; Feldman, Anna; Peng, Jing";CATs are Fuzzy PETs: A Corpus and Analysis of Potentially Euphemistic Terms;;;;10.48550/ARXIV.2205.02728;https://arxiv.org/abs/2205.02728;Euphemisms have not received much attention in natural language processing, despite being an important element of polite and figurative language. Euphemisms prove to be a difficult topic, not only because they are subject to language change, but also because humans may not agree on what is a euphemism and what is not. Nevertheless, the first step to tackling the issue is to collect and analyze examples of euphemisms. We present a corpus of potentially euphemistic terms (PETs) along with example texts from the GloWbE corpus. Additionally, we present a subcorpus of texts where these PETs are not being used euphemistically, which may be useful for future applications. We also discuss the results of multiple analyses run on the corpus. Firstly, we find that sentiment analysis on the euphemistic texts supports that PETs generally decrease negative and offensive sentiment. Secondly, we observe cases of disagreement in an annotation task, where humans are asked to label PETs as euphemistic or not in a subset of our corpus text examples. We attribute the disagreement to a variety of potential reasons, including if the PET was a commonly accepted term (CAT).;2022;;arXiv;;;No Dark Web
conferencePaper;2020;"Felt, Christian; Riloff, Ellen";Recognizing Euphemisms and Dysphemisms Using Sentiment Analysis;Proceedings of the Second Workshop on Figurative Language Processing;;;10.18653/v1/2020.figlang-1.20;https://www.aclweb.org/anthology/2020.figlang-1.20;This paper presents the first research aimed at recognizing euphemistic and dysphemistic phrases with natural language processing. Euphemisms soften references to topics that are sensitive, disagreeable, or taboo. Conversely, dysphemisms refer to sensitive topics in a harsh or rude way. For example, “passed away” and “departed” are euphemisms for death, while “croaked” and “six feet under” are dysphemisms for death. Our work explores the use of sentiment analysis to recognize euphemistic and dysphemistic language. First, we identify near-synonym phrases for three topics (firing, lying, and stealing) using a bootstrapping algorithm for semantic lexicon induction. Next, we classify phrases as euphemistic, dysphemistic, or neutral using lexical sentiment cues and contextual sentiment analysis. We introduce a new gold standard data set and present our experimental results for this task.;2020;;Association for Computational Linguistics;;;No Dark Web
conferencePaper;2019;"Yi, Chuanrun; Wang, Dong; He, Chunyu; Sha, Ying";Learning to Explain Chinese Slang Words;;978-3-030-30489-8 978-3-030-30490-4;;10.1007/978-3-030-30490-4_3;http://link.springer.com/10.1007/978-3-030-30490-4_3;The explosive development of social media has generated a large number of slang words in Chinese social network. The appearance of Chinese slang words has affected the accuracy of reading comprehension and word segmentation tasks. In this paper, we propose explaining Chinese slang word automatically for the first time. Unlike matching words in dictionary, we use a novel neural network called DCEAnn (a Dual Character-level Encoder using Attention-based neural network) for this specific task. One encodes slang word and its phonetics to learn the word representation, the other encodes example sentence containing slang word to enrich the semantic information of the slang word. Besides, we propose a public dataset for the first time to deal with the absence of parallel corpus for training model. Manual evaluation of experimental results shows that our model can generate reasonable explanations. Furthermore, we find that our model has a better performance on the network digital language which only contains numbers. To be specific, we get the state-of-the-art result on Chinese slang words interpretation whose BLEU score is 23.64, 3.59 higher than our baseline, and the state-of-the-art result on network digital language interpretation whose BLEU score is 54.23, 3.18 higher than our baseline.;2019;;Springer International Publishing;;;No Dark Web
journalArticle;2020;"Samtani, Sagar; Zhu, Hongyi; Chen, Hsinchun";Proactively Identifying Emerging Hacker Threats from the Dark Web: A Diachronic Graph Embedding Framework (D-GEF);ACM Transactions on Privacy and Security;;2471-2566, 2471-2574;10.1145/3409289;https://dl.acm.org/doi/10.1145/3409289;Cybersecurity experts have appraised the total global cost of malicious hacking activities to be $450 billion annually. Cyber Threat Intelligence (CTI) has emerged as a viable approach to combat this societal issue. However, existing processes are criticized as inherently reactive to known threats. To combat these concerns, CTI experts have suggested proactively examining emerging threats in the vast, international online hacker community. In this study, we aim to develop proactive CTI capabilities by exploring online hacker forums to identify emerging threats in terms of popularity and tool functionality. To achieve these goals, we create a novel Diachronic Graph Embedding Framework (D-GEF). D-GEF operates on a Graph-of-Words (GoW) representation of hacker forum text to generate word embeddings in an unsupervised manner. Semantic displacement measures adopted from diachronic linguistics literature identify how terminology evolves. A series of benchmark experiments illustrate D-GEF's ability to generate higher quality than state-of-the-art word embedding models (e.g., word2vec) in tasks pertaining to semantic analogy, clustering, and threat classification. D-GEF's practical utility is illustrated with in-depth case studies on web application and denial of service threats targeting PHP and Windows technologies, respectively. We also discuss the implications of the proposed framework for strategic, operational, and tactical CTI scenarios. All datasets and code are publicly released to facilitate scientific reproducibility and extensions of this work.;30.11.2020;;;;;No Jargon
conferencePaper;2023;"Hada, Takuro; Sei, Yuichi; Tahara, Yasuyuki; Ohsuga, Akihiko";Detection of Compound-Type Dark Jargons Using Similar Words:;Proceedings of the 15th International Conference on Agents and Artificial Intelligence;978-989-758-623-1;;10.5220/0011918800003393;https://www.scitepress.org/DigitalLibrary/Link.aspx?doi=10.5220/0011918800003393;: Recently, drug trafficking on microblogs has increased and become a social problem. While cyber patrols are being conducted to combat such crimes, those who post messages that lead to crimes continue to communicate skillfully using so-called “dark jargon,” a term that conceals their criminal intentions, to avoid using keywords (“drug,” ”marijuana,” etc.) of the target of monitoring. Evading detection by the eyes of monitoring, they continue to communicate with each other skillfully. Even if the monitors learn these dark jargons, they become obsolete over time as they become more common, and new dark jargons emerge. We have proposed a method for detecting dark jargons with criminal intent based on differences in the usage of words in posts and have achieved a certain level of success. In this study, by using similar words, we propose a method for detecting compound-type dark jargons that combines two or more words, which have been difficult to detect using existing methods. To confirm the effectiveness of the proposed method, we conducted a detection experiment with compound words and a detection experiment with dark jargons. As a result, we confirmed that the proposed method enabled to detect compound-type dark jargons that could not be detected by existing methods.;2023;;SCITEPRESS - Science and Technology Publications;;;No Dark Web
journalArticle;2024;"Sun, Guoying; Zhang, Zhaoxin";Radical-attended and Pinyin-attended malicious long-tail keywords detection;Neural Computing and Applications;;0941-0643, 1433-3058;10.1007/s00521-024-09871-z;https://link.springer.com/10.1007/s00521-024-09871-z;Netizens all over the world can search malicious websites by malicious long-tail keywords on search engines, but malicious websites are strictly prohibited by law in most countries, so the construction of short text classification models for detecting malicious long-tail keywords has become a key research topic of Natural Language Processing (NLP). Most of the short text classification models are for English, with the widespread use of Chinese, there is an urgent need to develop Chinese short text classification models to help Chinese search engines detect malicious long-tail keywords. Considering that malicious long-tail keywords often evade detection by using homophones that have the same pinyin, pinyin is added to solve the homophonic typos problem of Chinese short text. Considering the data sparsity problem of malicious long-tail keywords, pinyin and radicals are added to obtain more abundant features. Since there is no publicly available pre-trained pinyin and radical embedding models, the embedding vectors of Chinese words, radical and pinyin are trained through Word2Vec, and 492,345 individual word embedding vectors, 207,995 individual radical embedding vectors and 402,071 individual pinyin embedding vectors are obtained. In addition, the positional encoding and part-of-speech coefficient are added to them, and the TF-IDF and MI values are added to reflect the word frequency weight and the different importance of the same word in different documents. Then, two parallel co-attention networks are used to fuse features of words, pinyin, and radicals, BIGRU is used to extract temporal features, and CNN is used to extract local features. Multi-group comparative experiment results on two short text benchmark datasets and pornographic and gambling long-tail keywords show that the proposed model outperforms the state-of-the-art text classification model.;2024-08;;;;;No Dark Web
